quantile_value,income
0.0528052805,162000.0000000000
0.0529052905,162000.0000000000
0.0530053005,162000.0000000000
0.0531053105,162000.0000000000
0.0532053205,162000.0000000000
0.0533053305,162001.2477822918
0.0534053405,162026.4129403103
0.0535053505,162078.8765717665
0.0536053605,162151.9577518287
0.0537053705,162238.9755556656
0.0538053805,162333.2490584458
0.0539053905,162428.0973353378
0.0540054005,162516.8394615104
0.0541054105,162592.8216719091
0.0542054205,162657.3526271828
0.0543054305,162716.5750907526
0.0544054405,162773.2723263440
0.0545054505,162830.2275976824
0.0546054605,162890.2241684933
0.0547054705,162956.0453025021
0.0548054805,163030.4742634342
0.0549054905,163116.2943150152
0.0550055006,163229.4545099989
0.0551055106,163384.3243149713
0.0552055206,163567.9470150263
0.0553055306,163767.0531087171
0.0554055406,163968.3730945968
0.0555055506,164158.6374712184
0.0556055606,164324.5767371353
0.0557055706,164452.9213909005
0.0558055806,164540.8038748589
0.0559055906,164614.7649965177
0.0560056006,164679.3065897862
0.0561056106,164736.8693624613
0.0562056206,164789.8940223399
0.0563056306,164840.8212772188
0.0564056406,164892.0918348950
0.0565056506,164946.1464031653
0.0566056606,165003.9886005757
0.0567056706,165058.6718685032
0.0568056806,165110.6158396394
0.0569056906,165161.8721461508
0.0570057006,165214.4924202040
0.0571057106,165270.5282939654
0.0572057206,165332.0313996016
0.0573057306,165401.0533692790
0.0574057406,165481.1453671646
0.0575057506,165595.7410333504
0.0576057606,165741.9237686656
0.0577057706,165906.1936209323
0.0578057806,166075.0506379720
0.0579057906,166234.9948676066
0.0580058006,166372.5263576579
0.0581058106,166474.1451559475
0.0582058206,166526.5846898462
0.0583058306,166552.0731812305
0.0584058406,166572.8908761340
0.0585058506,166590.0160110970
0.0586058606,166604.4268226601
0.0587058706,166617.1015473639
0.0588058806,166629.0184217487
0.0589058906,166641.1556823550
0.0590059006,166654.4915657235
0.0591059106,166667.7676695822
0.0592059206,166678.7223911348
0.0593059306,166688.4303267159
0.0594059406,166697.9970368160
0.0595059506,166708.5280819257
0.0596059606,166721.1290225354
0.0597059706,166736.9054191358
0.0598059806,166756.9628322172
0.0599059906,166803.6284203804
0.0600060006,166927.2255589185
0.0601060106,167107.2971031799
0.0602060206,167319.0671950237
0.0603060306,167537.7599763087
0.0604060406,167738.5995888940
0.0605060506,167896.8101746384
0.0606060606,167987.6158754010
0.0607060706,168000.0000000000
0.0608060806,168000.0000000000
0.0609060906,168000.0000000000
0.0610061006,168000.0000000000
0.0611061106,168000.0000000000
0.0612061206,168000.0000000000
0.0613061306,168000.0000000000
0.0614061406,168000.0000000000
0.0615061506,168000.0000000000
0.0616061606,168000.0000000000
0.0617061706,168000.0000000000
0.0618061806,168000.0000000000
0.0619061906,168000.0000000000
0.0620062006,168000.0000000000
0.0621062106,168000.0000000000
0.0622062206,168000.0000000000
0.0623062306,168000.0000000000
